 					PLAN DE ENTRENAMIENTO																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																														
PLAN DE ENTRENAMIENTO, REGISTRO DE ENTRENAMIENTO, RUTINA DE CARDIO Y ANÁLISIS DE VOLUMEN DE ENTRENAMIENTO																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																														
	SPLIT:				GRÁFICO DE ANÁLISIS DEL VOLUMEN DE ENTRENAMIENTO 							MESOCICLO:				ENFOQUE DEL PROGRAMA:					NOTAS IMPORTANTES 											INSERTA TU IMAGEN											INSERTA TU IMAGEN																																																																																																																																																																																																			
																					Las series de entrenamiento son series de trabajo; deberías estar entre 2 y 0 repeticiones del fallo muscular.																																																																																																																																																																																																																									
	SERIES TOTALES 																																																																																																																																																																																																																																													
	PECTORAL		8																																																																																																																																																																																																																																											
	HOMBROS		8																		Siempre que puedas hacer el número máximo de repeticiones, aumenta la carga en la siguiente serie.																																																																																																																																																																																																																									
	POSTERIOR		0																																																																																																																																																																																																																																											
	BÍCEPS		7																																																																																																																																																																																																																																											
	TRÍCEPS		7																																																																																																																																																																																																																																											
	ANTEBRAZOS		0																		Siempre que no puedas hacer el número mínimo de repeticiones, disminuye la carga en la siguiente serie.																																																																																																																																																																																																																									
	ABDOMINALES 		6																																																																																																																																																																																																																																											
	ESPALDA ALTA		4																																																																																																																																																																																																																																											
	DORSALES		9																																																																																																																																																																																																																																											
	ERECTORES		0																																																																																																																																																																																																																																											
	GLÚTEOS 		0																		El enfoque debe estar en la técnica, el rango de movimiento y el control del movimiento.																																																																																																																																																																																																																									
	ISQUIOTIBIALES		6																																																																																																																																																																																																																																											
	GEMELOS		6																																																																																																																																																																																																																																											
	CUÁDRICEPS		9																																																																																																																																																																																																																																											
	ADUCTORES		4																																																																																																																																																																																																																																											
																																																																																																																																																																																																																																														
	ENFOQUE:				TIRÓN																DIARIO DE ENTRENAMIENTO SEMANA 1											DIARIO DE ENTRENAMIENTO SEMANA 2											DIARIO DE ENTRENAMIENTO SEMANA 3											DIARIO DE ENTRENAMIENTO SEMANA 4											DIARIO DE ENTRENAMIENTO SEMANA 5											DIARIO DE ENTRENAMIENTO SEMANA 6											DIARIO DE ENTRENAMIENTO SEMANA 7											DIARIO DE ENTRENAMIENTO SEMANA 8											DIARIO DE ENTRENAMIENTO SEMANA 9											DIARIO DE ENTRENAMIENTO SEMANA 10											DIARIO DE ENTRENAMIENTO SEMANA 11											DIARIO DE ENTRENAMIENTO SEMANA 12											DIARIO DE ENTRENAMIENTO SEMANA 13											DIARIO DE ENTRENAMIENTO SEMANA 14											DIARIO DE ENTRENAMIENTO SEMANA 15											DIARIO DE ENTRENAMIENTO SEMANA 16											DIARIO DE ENTRENAMIENTO SEMANA 17											DIARIO DE ENTRENAMIENTO SEMANA 18											DIARIO DE ENTRENAMIENTO SEMANA 19											DIARIO DE ENTRENAMIENTO SEMANA 20								
																																																																																																																																																																																																																																														
																								REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 											REPETICIONES 					
	GRUPO MUSCULAR 		ORDEN 	EJERCICIO			SERIES 		RANGO DE REPETICIONES 		RIR	TIEMPO DE DESCANSO 		TIPO DE SERIE 		VÍDEO 	ESPECIFICACIONES				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR				PESO			SERIE 1	SERIE 2	SERIE 3	SERIE 4	RIR	
																																																																																																																																																																																																																																														
	BÍCEPS			CURL DE BÍCEPS EN POLEA CON BARRA			3		8-10	10-12	0										1 serie 12.8kg, 2 y 3 serie 11.3kg		KG	9rir0	10rir0	9rir0		0				1 serie 12.5kg, 2 y 3 serie 11.3kg		KG	9rir0	10rir0	9rir0		0				1 serie 12.5kg, 2 y 3 serie 11.3kg		KG	10rir0	10rir0	9rir0		0						KG											KG											KG											KG											KG											KG											KG											KG											KG											KG											KG											KG											KG											KG											KG											KG											KG						
